Constituencies, CANDIDATE NAME , PARTY , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
Nalasopara,11 ARORA RAKESH VISHWANATH,HJP,375,0.20%,519160,
Nalasopara,12 MOHSIN SHARIF SHAIKH,BAHUMP,282,0.15%,519160,
Nalasopara,13 OMKAR SUDHAKAR SHETTY,IND,259,0.14%,519160,
Nalasopara,14 SATISH SITARAM WAREKAR,IND,171,0.10%,519160,
Nalasopara,15 MUZFFAR ZULKAR VOHRA,IND,145,0.10%,519160,
Nalasopara,TOTAL,NA,269070,0.06%,NA,
Vasai,1 HITENDRA VISHNU THAKUR,BVA,102950,0.05%,304697,
Vasai,2 VIJAY GOVIND PATIL,SHS,76955,51.83%,304697,
Vasai,3 Prafulla Narayan Thakur,MNS,3540,54.18%,304697,
Vasai,4 NOTA,NOTA,3036,40.50%,304697,
Vasai,5 Shahid Kamal Shaikh,VBA,1570,1.86%,304697,
Vasai,6 Anton Victar DicuNA,BSP,1288,1.60%,304697,
Vasai,7 SUNEEL MANI SINGH,IND,666,0.83%,304697,
Vasai,TOTAL,NA,190005,0.68%,NA,
Bhiwandi Rural,1 Shantaram Tukaram More,SHS,83567,0.35%,289361,
Bhiwandi Rural,2 Shubhangi Ramesh Govari,MNS,39058,62.36%,289361,
Bhiwandi Rural,3 Madhuri Shashikant Mhatre,NCP,33571,48.36%,289361,
Bhiwandi Rural,4 Mhase Nitesh Jagan,CPI,4958,22.60%,289361,
Bhiwandi Rural,5 Swapnil Mahadeo Koli,VBA,4426,19.43%,289361,
Bhiwandi Rural,6 NOTA,NOTA,3340,2.87%,289361,
Bhiwandi Rural,7 Co. Laxaman Sukary Wadu,RMPOI,2509,2.56%,289361,
Bhiwandi Rural,8 Sitaram Arjun Dive,IND,1385,1.93%,289361,
Bhiwandi Rural,TOTAL,NA,172814,1.45%,NA,
shahapur,1 DAULAT BHIKA DARODA,NCP,76053,0.80%,249313,
shahapur,2 BARORA PANDURANG MAHADU,SHS,60949,59.72%,249313,
shahapur,3 Krushna Chintu Bhavar,CPIM,10361,46.96%,249313,
shahapur,4 Harishchandra (Haresh) Bango Khandavi,VBA,5671,37.63%,249313,
shahapur,5 NOTA,NOTA,4313,6.40%,249313,
shahapur,6 JAGDISH GOVIND GIRA,IND,1816,3.50%,249313,
shahapur,7 RAVINDRA MANGALU MARADE,BSP,1710,2.66%,249313,
shahapur,8 VISHNU BUDHA THOMBRE,BTP,1082,1.12%,249313,
shahapur,TOTAL,NA,161955,1.06%,NA,
Bhiwandi West,1 Chaughule Mahesh Prabhakar,BJP,58857,0.67%,275855,
Bhiwandi West,2 Khalid (Guddu),IND,43945,64.96%,275855,
Bhiwandi West,3 Khan Shoeb (Guddu),INC,28359,42.38%,275855,
Bhiwandi West,4 Nagesh Shankar Mukadam,MNS,2600,31.65%,275855,
Bhiwandi West,5 Bonde Suhas Dhananjay,VBA,2171,20.42%,275855,
Bhiwandi West,6 NOTA,NOTA,1886,1.87%,275855,
Bhiwandi West,7 Abusama Abuhuraira Khan,BSP,704,1.56%,275855,
Bhiwandi West,8 Shaeem Afaque Farooque,IND,344,1.36%,275855,
Bhiwandi West,TOTAL,NA,138866,0.51%,NA,
Bhiwandi East,1 Rais Kasam Shaikh,SP,45537,0.25%,269935,
Bhiwandi East,2 Rupesh Laxman Mhatre,SHS,44223,50.34%,269935,
Bhiwandi East,3 Santosh Manjayya Shetty,INC,32198,35.23%,269935,
Bhiwandi East,4 Budhesh Laxman Jadhav,VBA,2065,34.21%,269935,
Bhiwandi East,5 Manoj Waman Gulvi,MNS,1492,24.91%,269935,
Bhiwandi East,6 NOTA,NOTA,1358,1.60%,269935,
Bhiwandi East,7 Najir Ahamad Siddiq Ansari,BSP,551,1.15%,269935,
Bhiwandi East,8 Habibur Rehman Khan,PECP,508,1.05%,269935,
Bhiwandi East,9 Narayan Pratap Vanga,BAHUMP,255,0.43%,269935,
Bhiwandi East,10 Santosh Lachhayya Shetty,IND,249,0.39%,269935,
Bhiwandi East,11 Harun Jais Khan,IND,216,0.20%,269935,
Bhiwandi East,12 Sayed Kashif,IND,191,0.19%,269935,
Bhiwandi East,13 Momin Rais A. Khalik,IND,164,0.17%,269935,
Bhiwandi East,14 Salam Bastiwala,SMFB,152,0.15%,269935,
Bhiwandi East,15 Dr. Nooruddin N. Ansari,IND,112,0.13%,269935,
Bhiwandi East,TOTAL,NA,129271,0.12%,NA,
Kalyan West,1 VISHWANATH ATMARAM BHOIR,SHS,65486,0.09%,452924,
Kalyan West,2 NARENDRA BABURAO PAWAR,IND,43209,47.89%,452924,
Kalyan West,3 PRAKASH SUKHDEV BHOIR,MNS,38075,34.50%,452924,
Kalyan West,4 KANCHAN YOGESH KULKARNI,INC,11648,22.77%,452924,
Kalyan West,5 AYAZ GULZAR MOLVI,AIMIM,10110,20.06%,452924,
Kalyan West,6 NARESH SHANI GAIKWAD,VBA,9665,6.14%,452924,
Kalyan West,7 NOTA,NOTA,3542,5.33%,452924,
Kalyan West,8 SAJITHA JAYAKRISHNAN NAIR,IND,2091,5.09%,452924,
Kalyan West,9 DHUMAL SUNIL GANGARAM,IND,1603,1.87%,452924,
Kalyan West,10 ASHISH VIJAY TAMBE,BSP,1513,1.10%,452924,
Kalyan West,11 DR. NEETA ASHISH PATIL,SBBGP,621,0.84%,452924,
Kalyan West,12 NILESH R. JAIN / SHAH,IND,534,0.80%,452924,
Kalyan West,13 YOGESH MOTIRAM KATHORE,IND,485,0.33%,452924,
Kalyan West,14 SURESH KALURAM JADHAV,IND,349,0.28%,452924,
Kalyan West,15 NOVEL BALU SALVE,IND,335,0.26%,452924,
Kalyan West,16 DR. VIJAY BHIKAJI PAGARE (JAYKHEDKAR),BALP,200,0.18%,452924,
Kalyan West,17 KAUSTUBH SATISHCHANDRA BAHULEKAR,IND,180,0.18%,452924,
Kalyan West,18 ADV. SWATI DHONDIRAM ZIMUR,IND,144,0.11%,452924,
Kalyan West,TOTAL,NA,189790,0.09%,NA,
Murbad,1 Kisan Shankar Kathore,BJP,174068,0.08%,397940,
Murbad,2 Pramod Vinayak Hindurao,NCP,38028,41.90%,397940,
Murbad,3 Deepak Pandharinath Khambekar,VBA,8504,74.75%,397940,
Murbad,4 NOTA,NOTA,6783,16.33%,397940,
Murbad,5 Adv.Ratna Kishor Gaikwad,BSP,2003,3.65%,397940,
Murbad,6 Pradeep Govind Rokade,IND,1561,2.91%,397940,
Murbad,7 Chandrakant Bhaskar Pashte,PWPI,1097,0.86%,397940,
Murbad,8 Mayur Vinayak Yelve,BMUP,817,0.67%,397940,
Murbad,TOTAL,NA,232861,0.47%,NA,
Ambernath,1 Dr. Kinikar Balaji Pralhad,SHS,60083,0.35%,315581,
Ambernath,2 Rohit Chandrakant Salve,INC,30789,58.52%,315581,
Ambernath,3 Dhananjay Bhimrao Surve,VBA,16274,44.87%,315581,
Ambernath,4 Sumedh Hiraman Bhawar,MNS,13635,22.99%,315581,
Ambernath,5 NOTA,NOTA,4322,12.15%,315581,
Ambernath,6 Pravin Motiram Kharat,NCP,3323,10.18%,315581,
Ambernath,7 Dr. Dhammdeep Hemraj Ganvir,BSP,1310,3.23%,315581,
Ambernath,8 Kamlakar Nagorao Suryavanshi,IND,874,2.48%,315581,
Ambernath,9 Raju Komrayya Deekonda,IND,609,0.98%,315581,
Ambernath,10 Rambhau Mahadev Tayade,IND,600,0.65%,315581,
Ambernath,11 Apeksha Dalavi,IND,430,0.45%,315581,
Ambernath,12 Dilip Madhavrao Jagtap,IND,275,0.45%,315581,
Ambernath,13 Jayesh Balaram Jadhav,IND,263,0.32%,315581,
Ambernath,14 Gaikwad Ramesh Kondiba,IND,259,0.21%,315581,
Ambernath,15 Vinod Manohar Salve,BMUP,238,0.20%,315581,
Ambernath,16 Deepak Chandrabhan Gade,SMFB,235,0.19%,315581,
Ambernath,17 Rajaram Vasant Jadhav,BVA,214,0.18%,315581,
Ambernath,18 Yatin Dattatray More,IND,186,0.18%,315581,
Ambernath,TOTAL,NA,133919,0.16%,NA,
Ulhasnagar,1 Ailani Kumar Uttamchand,BJP,43666,0.14%,233324,
Ulhasnagar,2 Jyoti Pappu Kalani,NCP,41662,42.44%,233324,
Ulhasnagar,3 Bhagwan Shankar Bhalerao,IND,8260,39.84%,233324,
Ulhasnagar,4 Sajan Singh Labana,VBA,5689,38.01%,233324,
Ulhasnagar,5 NOTA,NOTA,4978,7.54%,233324,
Ulhasnagar,6 Adv. Rajendra Sahebrao Bhalerao,BSP,941,5.19%,233324,
Ulhasnagar,7 Adv. Siddhart R. Sable,IND,705,4.54%,233324,
Ulhasnagar,8 Adv. Raj Chandwani,IND,584,0.86%,233324,
Ulhasnagar,9 Jogender Singh (Sonupunjabi) Dharm Raj Khusar,BVA,552,0.64%,233324,
Ulhasnagar,10 Abdulgaffar Sheikh,IND,467,0.53%,233324,
Ulhasnagar,11 Kajal Kanayalal Mulchandani,IND,461,0.50%,233324,
Ulhasnagar,12 Adv. Rajkumar Soni,IND,286,0.43%,233324,
Ulhasnagar,13 Laxmi Videsh Valmiki,IND,271,0.42%,233324,
Ulhasnagar,14 Dnyaneshwar Lokhande Mahaaraz,IND,259,0.26%,233324,
Ulhasnagar,15 Sandeep (Bhau) Pandit Gaikwad,IND,231,0.25%,233324,
Ulhasnagar,16 Milind Kamble,IND,191,0.24%,233324,
Ulhasnagar,17 Ramesh Bansilal Mimrot,BMUP,181,0.21%,233324,
Ulhasnagar,18 Bhatija Kamal Sunderdas,IND,125,0.17%,233324,
Ulhasnagar,19 Ibrahim Abdul Sattar Ansari,IND,92,0.17%,233324,
Ulhasnagar,TOTAL,NA,109601,0.11%,NA,
Kalyan East,1 Ganpat Kalu Gaikwad,BJP,60332,0.08%,345802,
Kalyan East,2 Dhananjay Baburao Bodare Alias Aaba,IND,48075,46.97%,345802,
Kalyan East,3 Prakash Balkrushna Tare,NCP,16757,39.94%,345802,
Kalyan East,4 Ashwini Vinayak Thorat-Dhumal,VBA,12899,31.82%,345802,
Kalyan East,5 NOTA,NOTA,3690,11.09%,345802,
Kalyan East,6 Shailesh Rammurti Tiwari,IND,2014,8.54%,345802,
Kalyan East,7 Milind Chandrakant Belamkar,BSP,1281,2.44%,345802,
Kalyan East,8 Adv. Uday Rasal,PHJSP,1002,1.33%,345802,
Kalyan East,9 Balaji Ramdas Gaikwad,IND,874,0.85%,345802,
Kalyan East,10 Devendra Jagdish Singh,IND,716,0.66%,345802,
Kalyan East,11 Akshay Manohar Mhatre,IND,572,0.58%,345802,
Kalyan East,12 Soni Devram Ahire,IND,530,0.47%,345802,
Kalyan East,13 Narendra Waman More,IND,472,0.38%,345802,
Kalyan East,14 Harishchandra Dattu Patil,SanS,400,0.35%,345802,
Kalyan East,15 Patel Yogesh Shivram,IND,327,0.31%,345802,
Kalyan East,16 Abhijeet Ravi Tribhuvan,BMUP,327,0.26%,345802,
Kalyan East,17 Apeksha Arun Dalvi,IND,255,0.22%,345802,
Kalyan East,18 Nandkumar Sambhaji Limkar,IND,182,0.22%,345802,
Kalyan East,19 Chikane Sachin Suryakant,SMFB,182,0.17%,345802,
Kalyan East,20 Salvi Harshal Ravindra,IND,175,0.12%,345802,
Kalyan East,TOTAL,NA,151062,0.12%,NA,
Dombivali,1 Chavan Ravindra Dattatray,BJP,86227,0.12%,356082,
Dombivali,2 Mandar Shrikant Halbe,MNS,44916,43.68%,356082,
Dombivali,3 Radhika Milind Gupte (Ketkar),INC,6613,59.33%,356082,
Dombivali,4 NOTA,NOTA,4134,30.91%,356082,
Dombivali,5 Damodar Dnyanba Kakde,BSP,2311,4.55%,356082,
Dombivali,6 Dr. Amitkumar Anandrao Goilkar,SBBGP,699,2.84%,356082,
Dombivali,7 Bhagwat Dhondiba Gaikwad,IND,432,1.59%,356082,
Dombivali,TOTAL,NA,145332,0.48%,NA,
Kalyan Rural,1 Pramod (Raju) Ratan Patil,MNS,93927,0.30%,424976,
Kalyan Rural,2 Mhatre Ramesh Sukrya,SHS,86773,40.81%,424976,
Kalyan Rural,3 Amol Dhanraj Kendre,VBA,6199,47.46%,424976,
Kalyan Rural,4 NOTA,NOTA,6092,43.84%,424976,
Kalyan Rural,5 Shiva Krishnamurthy Iyer,IND,1156,3.13%,424976,
Kalyan Rural,6 Rakesh Kathod Patil,IND,899,3.08%,424976,
Kalyan Rural,7 Roshan Harishchandra Patil,PWPI,665,0.58%,424976,
Kalyan Rural,8 Pandagle Suresh Ram,BVA,528,0.45%,424976,
Kalyan Rural,9 Chandrakant Vitthal Sonawane,BMUP,458,0.34%,424976,
Kalyan Rural,10 Patil Vinaya Vishwanath,IND,440,0.27%,424976,
Kalyan Rural,11 Sudhakar Omprakash Thapliyal,AIFB,365,0.23%,424976,
Kalyan Rural,12 Krishnakant Chandrakant Ranpise,IND,229,0.22%,424976,
Kalyan Rural,13 Jadhav Zumbar Lukas,IND,183,0.18%,424976,
Kalyan Rural,TOTAL,NA,197914,0.12%,NA,
Mira Bhayandar,1 Geeta Bharat Jain,IND,79575,0.09%,437178,
Mira Bhayandar,2 Narendra Mehta,BJP,64049,46.57%,437178,
Mira Bhayandar,3 Muzaffar Hussain,INC,55939,37.60%,437178,
Mira Bhayandar,4 Haresh Eknath Sutar,MNS,3936,30.26%,437178,
Mira Bhayandar,5 NOTA,NOTA,2623,26.43%,437178,
Mira Bhayandar,6 CA Narendra Bhambwani,AAAP,2042,1.86%,437178,
Mira Bhayandar,7 Salim Abbas Khan,VBA,1421,1.24%,437178,
Mira Bhayandar,8 Kirtawade Vidhyadhar Bhimrao,BSP,576,0.96%,437178,
Mira Bhayandar,9 Jangam Pradeep Dilip,IND,527,0.67%,437178,
Mira Bhayandar,10 Faheem Ahmed Shaikh,NAP,515,0.27%,437178,
Mira Bhayandar,11 Ravindra Babasaheb Kharat,IND,178,0.25%,437178,
Mira Bhayandar,12 Mahesh Desai,IND,129,0.24%,437178,
Mira Bhayandar,13 Birju Ramkumar Choudhary,SBSP,126,0.08%,437178,
Mira Bhayandar,TOTAL,NA,211636,0.06%,NA,
Ovala-Majiwada,1 PRATAP BABURAO SARNAIK,SHS,117593,0.06%,449717,
Ovala-Majiwada,2 CHAVAN VIKRANT BHIMSEN,INC,33585,48.41%,449717,
Ovala-Majiwada,3 SANDEEP DINKAR PACHANGE,MNS,21132,60.72%,449717,
Ovala-Majiwada,4 DIVEKAR KISHOR TATERAO,VBA,6492,17.34%,449717,
Ovala-Majiwada,5 NOTA,NOTA,6054,10.91%,449717,
Ovala-Majiwada,6 SANAULLAH MAJHAR HUSAIN CHAUDHARI,IND,3360,3.35%,449717,
Ovala-Majiwada,7 VIKAS KRISHNA MUKADAM,SBBGP,1296,3.13%,449717,
Ovala-Majiwada,8 TIRPUDE UTTAM KISANRAO,BSP,1267,1.73%,449717,
Ovala-Majiwada,9 ATULLA ZAKAULLA KHAN,BMUP,719,0.67%,449717,
Ovala-Majiwada,10 RAVINDRA SITARAM DUNGHAV,IND,529,0.65%,449717,
Ovala-Majiwada,11 SAGAR RAVINDRA SALUNKHE,MAHKRS,467,0.37%,449717,
Ovala-Majiwada,12 DHEERAJ PANDEY,IND,391,0.27%,449717,
Ovala-Majiwada,13 SALMAN AZIMULLA HASHMI,IND,338,0.24%,449717,
Ovala-Majiwada,14 RAMPRAVESH M. CHAUBEY,JP,264,0.20%,449717,
Ovala-Majiwada,15 SANTOSH PANDIT KATARNAVARE,APoI,182,0.17%,449717,
Ovala-Majiwada,TOTAL,NA,193669,0.14%,NA,
Kopri-Pachpakhadi,1 EKNATH SAMBHAJI SHINDE,SHS,113497,0.09%,352995,
Kopri-Pachpakhadi,2 GHADIGAONKAR SANJAY PANDURANG,INC,24197,43.06%,352995,
Kopri-Pachpakhadi,3 MAHESH PARSHURAM KADAM,MNS,21513,65.36%,352995,
Kopri-Pachpakhadi,4 BAGWE UNMESH B.,VBA,5925,13.93%,352995,
Kopri-Pachpakhadi,5 NOTA,NOTA,5147,12.39%,352995,
Kopri-Pachpakhadi,6 PRABHAKAR BABURAO WAGH,BSP,1047,3.41%,352995,
Kopri-Pachpakhadi,7 VIJAY DYANOBA GHATE,RBS,699,2.96%,352995,
Kopri-Pachpakhadi,8 SUREN (BABU) ANANT KOLI,RMGP,594,0.60%,352995,
Kopri-Pachpakhadi,9 RAVINDRA SHIVRAM SALUNKHE,MAHKRS,377,0.40%,352995,
Kopri-Pachpakhadi,10 LEELA PRABHULAL CHAVAN,IND,250,0.34%,352995,
Kopri-Pachpakhadi,11 TUSHAR DASHRATH LOGADE,IND,238,0.22%,352995,
Kopri-Pachpakhadi,12 SADHANA SUDHAKAR SHINDE,APoI,178,0.14%,352995,
Kopri-Pachpakhadi,TOTAL,NA,173662,0.14%,NA,
Thane,1 KELKAR SANJAY MUKUND,BJP,92298,0.10%,337846,
Thane,2 AVINASH ANANT JADHAV,MNS,72874,49.20%,337846,
Thane,3 NOTA,NOTA,5547,51.78%,337846,
Thane,4 EKNATH ANANDA JADHAV (BHAU),IND,3996,40.88%,337846,
Thane,5 KEDARNATH RUPARAM BHARTI,BSP,2333,3.11%,337846,
Thane,6 GODBOLE YOGESH VISHWANATH (SAMIR),BAHUMP,1210,2.24%,337846,
Thane,TOTAL,NA,178258,1.31%,NA,
Mumbra-Kalwa,1 AWHAD JITENDRA SATISH,NCP,109283,0.68%,357578,
Mumbra-Kalwa,2 DEEPALI JAHANGIR SAYED,SHS,33644,52.76%,357578,
Mumbra-Kalwa,3 ABU ALTAMASH FAIZI,AAAP,30520,61.03%,357578,
Mumbra-Kalwa,4 NOTA,NOTA,2591,18.79%,357578,
Mumbra-Kalwa,5 FARHAT MOHD AMIN SHAIKH,IUML,717,17.05%,357578,
Mumbra-Kalwa,6 KALPANA PANDHARINATH GAIKWAD,IND,561,1.45%,357578,
Mumbra-Kalwa,7 MOHAMMAD YUSUF MOHAMMAD FAROOQ KHAN,IND,498,0.40%,357578,
Mumbra-Kalwa,8 NAAZ MOHAMMED AHMED KHAN,BAHUMP,313,0.31%,357578,
Mumbra-Kalwa,9 SANTOSH BHIKAJI BHALERAO,APoI,293,0.28%,357578,
Mumbra-Kalwa,10 PRADIP TUKARAM JANGAM,IND,291,0.17%,357578,
Mumbra-Kalwa,11 ABDUL RAUF MOHAMMED HANIF‍ MEMON,IND,178,0.16%,357578,
Mumbra-Kalwa,12 QAISAR RAZA HUSAINI SHAIKH,IND,161,0.16%,357578,
Mumbra-Kalwa,TOTAL,NA,179050,0.10%,NA,
Airoli,1 GANESH NAIK,BJP,114645,0.09%,461489,
Airoli,2 GANESH RAGHU SHINDE,NCP,36154,50.07%,461489,
Airoli,3 NILESH ARUN BANKHELE,MNS,22818,58.37%,461489,
Airoli,4 DR. PRAKASH DHOKANE,VBA,13424,18.41%,461489,
Airoli,5 NOTA,NOTA,5213,11.62%,461489,
Airoli,6 JAISWAL RAJESH GANGAPRASAD,BSP,1376,6.83%,461489,
Airoli,7 HEMANT KISAN PATIL,IND,845,2.65%,461489,
Airoli,8 JADHAV DIGAMBAR VITTHAL,SanS,817,0.70%,461489,
Airoli,9 SANGEETA HANUMANT TAKALKAR,RBS,320,0.43%,461489,
Airoli,10 HARJEET SINGH KUMAR,INNP,305,0.42%,461489,
Airoli,11 ADV.BAPU POL,IND,260,0.16%,461489,
Airoli,12 VINAY DUBEY,IND,247,0.16%,461489,
Airoli,TOTAL,NA,196424,0.13%,NA,
Belapur,1 MANDA VIJAY MHATRE,BJP,87858,0.13%,385993,
Belapur,2 ASHOK ANKUSH GAWADE,NCP,44261,42.56%,385993,
Belapur,3 GAJANAN SHRIKRISHNA KALE,MNS,27618,50.34%,385993,
Belapur,4 NOTA,NOTA,3804,25.36%,385993,
Belapur,5 GAUTAM DURYODHAN GAIKWAD,IND,3031,15.82%,385993,
Belapur,6 CHANDRASHEKHAR JANARDAN RANADE,IND,2648,2.18%,385993,
Belapur,7 AVHAD SACHIN BHARAT,BSP,1556,1.74%,385993,
Belapur,8 SHANTARAM KUKRA SHETTY,IND,510,1.52%,385993,
Belapur,9 AHUJA UMA,IND,485,0.89%,385993,
Belapur,10 APPASAHEB VISHNU KSHIRSAGAR,RBS,477,0.29%,385993,
Belapur,11 SANTOSH R. KAMBLE,IND,458,0.28%,385993,
Belapur,12 Dr. AJAYKUMAR UPADHYAY,JUVJANP,452,0.27%,385993,
Belapur,13 KIRAN ARUN WAGHMARE,IND,278,0.26%,385993,
Belapur,14 BHAGWAT JITAN SHARMA,IND,270,0.26%,385993,
Belapur,15 HARJEET SINGH KUMAR,INNP,259,0.16%,385993,
Belapur,16 VIJAY JAGANNATH MANE,IND,230,0.15%,385993,
Belapur,17 MUKESH THAKUR,IND,228,0.15%,385993,
Belapur,18 BHANUDAS DHOTRE (SATARAKAR),RRP,104,0.13%,385993,
Belapur,TOTAL,NA,174527,0.13%,NA,
Borivali,1 Sunil Dattatraya Rane,BJP,123712,0.06%,301446,
Borivali,2 Kumar Khilare,INC,28691,45.22%,301446,
Borivali,3 NOTA,NOTA,10095,74.54%,301446,
Borivali,4 Rajesh Ramkisan Mallah,BSP,2232,17.29%,301446,
Borivali,5 Dhirubhai Gohil,SVPP,1234,6.08%,301446,
Borivali,TOTAL,NA,165964,1.34%,NA,
Dahisar,1 Chaudhary Manisha Ashok,BJP,87607,0.74%,255297,
Dahisar,2 Arun Sawant,INC,23690,55.06%,255297,
Dahisar,3 Rajesh Gangaram Yerunkar,MNS,17052,64.87%,255297,
Dahisar,4 NOTA,NOTA,4222,17.54%,255297,
Dahisar,5 Adv. Harshatai Chowkekar,BSP,1015,12.63%,255297,
Dahisar,6 Andrew John Fernandes,HBP,550,3.13%,255297,
Dahisar,7 Mahesh Pandurang Jadhav,SBBGP,346,0.75%,255297,
Dahisar,8 Radheshyam Harishankar Vishwakarma,NJANP,291,0.41%,255297,
Dahisar,9 Dharmendra Rammurat Pandey,IND,281,0.26%,255297,
Dahisar,TOTAL,NA,135054,0.22%,NA,
Magathane,1 Prakash Rajaram Surve,SHS,90206,0.21%,274102,
Magathane,2 Nayan Pradeep Kadam,MNS,41060,52.90%,274102,
Magathane,3 Manishankar Gaurishankar Singh Chauhan,NCP,7339,59.59%,274102,
Magathane,4 NOTA,NOTA,4849,27.13%,274102,
Magathane,5 Sadanand Prabhakar Mane,IND,3354,4.85%,274102,
Magathane,6 Devendra Muratsingh Thakur,IND,1534,3.20%,274102,
Magathane,7 Rajaram Bhiwrao Jadhav,BSP,1246,2.22%,274102,
Magathane,8 Manoj Vasant Bamne,BMUP,673,1.01%,274102,
Magathane,9 Sunil Shreehari Mandve,IND,581,0.82%,274102,
Magathane,10 Vijaykumar Suryaprasad Mishra,NAP,530,0.44%,274102,
Magathane,TOTAL,NA,151372,0.38%,NA,
Mulund,1 Kotecha Mihir Chandrakant,BJP,87253,0.35%,287173,
Mulund,2 Harshala Rajesh Chavan,MNS,29905,55.22%,287173,
Mulund,3 Govind Singh,INC,23854,56.46%,287173,
Mulund,4 NOTA,NOTA,5200,19.35%,287173,
Mulund,5 Shashikant Rohidas Mokal,VBA,4756,15.44%,287173,
Mulund,6 (Anna) Shreerang Anna Kamble,BSP,951,3.36%,287173,
Mulund,7 Commander Sadanand Champakrao Manekar (Retd.),IND,826,3.08%,287173,
Mulund,8 Nilesh Chavan,JANADIP,484,0.62%,287173,
Mulund,9 Deshpande Sanjay Saoji,IND,320,0.53%,287173,
Mulund,10 Keshav (Kailas) Joshi,IND,316,0.31%,287173,
Mulund,11 (Bhau) Salu Pawar,IND,270,0.21%,287173,
Mulund,12 Goroba Babasaheb Naykile,APoI,157,0.20%,287173,
Mulund,13 Meena Jagdish Sutrakar,IND,149,0.17%,287173,
Mulund,14 Nandkumar Birbal Singh,IND,96,0.10%,287173,
Mulund,TOTAL,NA,154537,0.10%,NA,
Vikhroli,1 Raut Sunil Rajaram,SHS,62794,0.06%,231104,
Vikhroli,2 Dhananjay (Dada) Pisal,NCP,34953,53.81%,231104,
Vikhroli,3 Vinod Ramchandra Shinde,MNS,16042,49.08%,231104,
Vikhroli,4 Siddharth Mokle,VBA,9150,27.32%,231104,
Vikhroli,5 NOTA,NOTA,3168,12.54%,231104,
Vikhroli,6 Shailesh Vivekanand Sonawane,BSP,834,7.15%,231104,
Vikhroli,7 Shashank Tulshiram Yadav,IND,362,2.48%,231104,
Vikhroli,8 Lumbini Siddharth Bhosale,PRBHPRP,247,0.65%,231104,
Vikhroli,9 Milind Kadam,SBBGP,242,0.28%,231104,
Vikhroli,10 Raju Shirame,SVPP,159,0.19%,231104,
Vikhroli,TOTAL,NA,127951,0.19%,NA,
Bhandup West,1 Ramesh Gajanan Korgaonkar,SHS,71955,0.12%,283275,
Bhandup West,2 Sandeep Prabhakar Jalgaonkar,MNS,42782,55.37%,283275,
Bhandup West,3 Koparkar Suresh Harishchandra,INC,30731,45.17%,283275,
Bhandup West,4 Satish Jaising Mane,VBA,7503,26.86%,283275,
Bhandup West,5 NOTA,NOTA,3732,19.29%,283275,
Bhandup West,6 Ravi Ashok Thate,BSP,1483,4.71%,283275,
Bhandup West,7 Rupali Bapu Bhadke,BMUP,744,2.34%,283275,
Bhandup West,8 Ankush Vasant Kurade,IND,352,0.93%,283275,
Bhandup West,TOTAL,NA,159282,0.47%,NA,
Jogeshwari East,1 Ravindra Dattaram Waikar,SHS,90654,0.22%,281976,
Jogeshwari East,2 Sunil Bisan Kumre,INC,31867,56.23%,281976,
Jogeshwari East,3 NOTA,NOTA,12031,60.86%,281976,
Jogeshwari East,4 Dilbag Singh,VBA,5075,21.39%,281976,
Jogeshwari East,5 Vitthal Govind Lad,AAAP,3857,8.08%,281976,
Jogeshwari East,6 Milind Jagannath Bhole,IND,3304,3.41%,281976,
Jogeshwari East,7 Kundan Hindurao Waghmare,BSP,1250,2.59%,281976,
Jogeshwari East,8 Anil Laxman Chavan,IND,927,2.22%,281976,
Jogeshwari East,TOTAL,NA,148965,0.84%,NA,
Dindoshi,1 Sunil Prabhu,SHS,82203,0.62%,281684,
Dindoshi,2 Vidya Chavan,NCP,37692,52.83%,281684,
Dindoshi,3 Arun Dhondiram Surve,MNS,25854,52.61%,281684,
Dindoshi,4 Siddharth Atmaram Kakde,VBA,3326,24.13%,281684,
Dindoshi,5 NOTA,NOTA,3266,16.55%,281684,
Dindoshi,6 Amit Suryakant Swami,BVA,1042,2.13%,281684,
Dindoshi,7 Dilip Narayan Tawde,AAAP,961,2.09%,281684,
Dindoshi,8 Sharad G. Gaikwad,IND,697,0.67%,281684,
Dindoshi,9 Vijendra Kumar Rai,IND,473,0.62%,281684,
Dindoshi,10 Comrade Dattu Kajale (Sir),SUCI(C),410,0.45%,281684,
Dindoshi,11 Subhash Gajraj Yadav,AAPP,312,0.30%,281684,
Dindoshi,TOTAL,NA,156236,0.26%,NA,
Kandivali East,1 Atul Bhatkhalkar,BJP,85152,0.20%,269510,
Kandivali East,2 Dr. Ajanta Rajpati Yadav,INC,32798,55.46%,269510,
Kandivali East,3 Hemantkumar Tulshiram Kamble,MNS,10132,63.22%,269510,
Kandivali East,4 NOTA,NOTA,2780,24.35%,269510,
Kandivali East,5 Rahul Manikrao Jadhav,VBA,2514,7.52%,269510,
Kandivali East,6 Adv. Sumitra Shrivastava,AAAP,782,2.06%,269510,
Kandivali East,7 Balkrishna Ishwar Prasad,BSP,529,1.87%,269510,
Kandivali East,TOTAL,NA,134687,0.58%,NA,
Charkop,1 Yogesh Sagar,BJP,108202,0.39%,288602,
Charkop,2 Kalu Budhelia,INC,34453,49.97%,288602,
Charkop,3 NOTA,NOTA,4927,71.10%,288602,
Charkop,4 Morris Benny Kinny,VBA,2523,22.64%,288602,
Charkop,5 Farukh Abdul Mannan Khan,BSP,1037,3.24%,288602,
